Account,AccountDesc,TransDesc,Debit,Credit,Period,JnlNo,JnlDesc,Amount,JnlPrep,JnlAuth,JnlDateTime
00-80-8033,Provision for Sales Schemes,ZZX,0.00,9668.59,2019-1,1,Reversed By Jnl 2019-9 Journal No. 277,-9668.59,HV09,AS13,01/01/2019 13:04
00-10-1002,Provisions - Trade Sales,XXX,9668.59,0.00,2019-1,1,Reversed By Jnl 2019-9 Journal No. 277,9668.59,HV09,AS13,01/01/2019 13:04
00-80-8033,Provision for Sales Schemes,ZZX,0.00,291191.30,2019-1,1,Reversed By Jnl 2019-9 Journal No. 277,-291191.30,HV09,AS13,01/01/2019 13:04
00-10-1001,Trade Sale Recycle Scheme,ZZZ,291191.30,0.00,2019-1,1,Reversed By Jnl 2019-9 Journal No. 277,291191.30,HV09,AS13,01/01/2019 13:04
00-20-2004,Provision for Obselete Inventory,923,0.00,12848.50,2019-1,10,Reversed By Jnl 2019-4 Journal No. 366,-12848.50,DF18,TC01,30/01/2019 09:56
00-80-8028,Provisions - Stock Write-downs,XZX,12848.50,0.00,2019-1,10,Reversed By Jnl 2019-4 Journal No. 366,12848.50,DF18,TC01,30/01/2019 09:56
00-20-2004,Provision for Obselete Inventory,1212,0.00,24839.41,2019-3,100,Reversed By Jnl 2019-7 Journal No. 285,-24839.41,DF18,AM04,30/03/2019 16:55
00-80-8028,Provisions - Stock Write-downs,XZX,24839.41,0.00,2019-3,100,Reversed By Jnl 2019-7 Journal No. 285,24839.41,DF18,AM04,30/03/2019 16:55
00-80-8027,Other Stock Costs,622,0.00,1101.96,2019-3,101,,-1101.96,GL06,AM04,30/03/2019 10:59
00-80-8027,Other Stock Costs,624,8394.14,0.00,2019-3,101,,8394.14,GL06,AM04,30/03/2019 10:59
00-20-2011,Inventory Adjustment,624,0.00,8394.14,2019-3,101,,-8394.14,GL06,AM04,30/03/2019 10:59
00-20-2011,Inventory Adjustment,626,12761.11,0.00,2019-3,101,,12761.11,GL06,AM04,30/03/2019 10:59
00-80-8027,Other Stock Costs,626,0.00,12761.11,2019-3,101,,-12761.11,GL06,AM04,30/03/2019 10:59
00-20-2011,Inventory Adjustment,622,1101.96,0.00,2019-3,101,,1101.96,GL06,AM04,30/03/2019 10:59
00-80-8037,Forex Holding Account,848,0.00,321704.40,2019-3,102,Reversed By Jnl 2019-6 Journal No. 318,-321704.40,GL06,TC01,30/03/2019 09:23
00-80-8034,Forex Pending,XXXX,321704.40,0.00,2019-3,102,Reversed By Jnl 2019-6 Journal No. 318,321704.40,GL06,TC01,30/03/2019 09:23
00-80-8035,Forex Holding Account,1206,0.00,463834.66,2019-3,102,Reversed By Jnl 2019-6 Journal No. 318,-463834.66,GL06,TC01,30/03/2019 09:23
00-80-8034,Forex Pending,XXXX,463834.66,0.00,2019-3,102,Reversed By Jnl 2019-6 Journal No. 318,463834.66,GL06,TC01,30/03/2019 09:23
00-80-8049,Accruals,XX123XX999,0.00,54928.76,2019-3,103,Reversed By Jnl 2019-8 Journal No. 370,-54928.76,HV09,TC01,30/03/2019 10:31
00-80-8029,Goods In Transit,ZZZ,54928.76,0.00,2019-3,103,Reversed By Jnl 2019-8 Journal No. 370,54928.76,HV09,TC01,30/03/2019 10:31
00-80-8049,Accruals,XX123XX999,0.00,130705.48,2019-3,103,Reversed By Jnl 2019-8 Journal No. 370,-130705.48,HV09,TC01,30/03/2019 10:31
00-80-8029,Goods In Transit,ZZZ,130705.48,0.00,2019-3,103,Reversed By Jnl 2019-8 Journal No. 370,130705.48,HV09,TC01,30/03/2019 10:31
00-80-8049,Accruals,XX123XX999,0.00,289793.41,2019-3,103,Reversed By Jnl 2019-8 Journal No. 370,-289793.41,HV09,TC01,30/03/2019 10:31
00-80-8029,Goods In Transit,ZZZ,289793.41,0.00,2019-3,103,Reversed By Jnl 2019-8 Journal No. 370,289793.41,HV09,TC01,30/03/2019 10:31
00-20-2011,Inventory Adjustment,516,0.00,8485.73,2019-3,104,,-8485.73,HV09,AM04,30/03/2019 17:18
00-80-8027,Other Stock Costs,ZZZ,8485.73,0.00,2019-3,104,,8485.73,HV09,AM04,30/03/2019 17:18
00-80-8033,Provision for Sales Schemes,ZZX,0.00,16716.78,2019-3,105,Reversed By Jnl 2019-6 Journal No. 511,-16716.78,HV09,AS13,30/03/2019 16:41
00-10-1002,Provisions - Trade Sales,XXX,16716.78,0.00,2019-3,105,Reversed By Jnl 2019-6 Journal No. 511,16716.78,HV09,AS13,30/03/2019 16:41
00-80-8033,Provision for Sales Schemes,ZZX,0.00,335884.58,2019-3,105,Reversed By Jnl 2019-6 Journal No. 511,-335884.58,HV09,AS13,30/03/2019 16:41
00-10-1001,Trade Sale Recycle Scheme,ZZZ,335884.58,0.00,2019-3,105,Reversed By Jnl 2019-6 Journal No. 511,335884.58,HV09,AS13,30/03/2019 16:41
00-80-8049,Accruals,XX123XX999,0.00,4553.93,2019-3,106,Reversed By Jnl 2019-4 Journal No. 526,-4553.93,GL06,SP18,30/03/2019 15:37
00-80-8029,Goods In Transit,ZZZ,4553.93,0.00,2019-3,106,Reversed By Jnl 2019-4 Journal No. 526,4553.93,GL06,SP18,30/03/2019 15:37
00-80-8049,Accruals,XX123XX999,0.00,124322.53,2019-3,106,Reversed By Jnl 2019-4 Journal No. 526,-124322.53,GL06,SP18,30/03/2019 15:37
00-80-8029,Goods In Transit,ZZZ,124322.53,0.00,2019-3,106,Reversed By Jnl 2019-4 Journal No. 526,124322.53,GL06,SP18,30/03/2019 15:37
00-80-8049,Accruals,XX123XX999,0.00,149518.83,2019-3,106,Reversed By Jnl 2019-4 Journal No. 526,-149518.83,GL06,SP18,30/03/2019 15:37
00-80-8029,Goods In Transit,ZZZ,149518.83,0.00,2019-3,106,Reversed By Jnl 2019-4 Journal No. 526,149518.83,GL06,SP18,30/03/2019 15:37
00-70-7026,Bank Fees,175,8.29,0.00,2019-3,107,,8.29,GL06,TC01,30/03/2019 15:58
00-80-8041,Cash Account,CVCVCV,458.84,0.00,2019-3,107,,458.84,GL06,TC01,30/03/2019 15:58
00-80-8048,Expenses Control Account,175,0.00,467.13,2019-3,107,,-467.13,GL06,TC01,30/03/2019 15:58
00-70-7022,Forex - Realised Diff,1205,9.46,0.00,2019-3,108,,9.46,AC04,SP18,31/03/2019 10:58
00-80-8034,Forex Pending,XXXX,0.00,9.46,2019-3,108,,-9.46,AC04,SP18,31/03/2019 10:58
00-70-7023,Forex - Realised Diff,1221,0.00,2.24,2019-3,108,,-2.24,AC04,SP18,31/03/2019 10:58
00-80-8034,Forex Pending,XXXX,2.24,0.00,2019-3,108,,2.24,AC04,SP18,31/03/2019 10:58
00-80-8034,Forex Pending,XXXX,0.00,8.24,2019-3,108,,-8.24,AC04,SP18,31/03/2019 10:58
00-70-7022,Forex - Realised Diff,302,8.24,0.00,2019-3,108,,8.24,AC04,SP18,31/03/2019 10:58
00-80-8040,Forex Holding Account,123,18.15,0.00,2019-3,108,,18.15,AC04,SP18,31/03/2019 10:58
00-70-7022,Forex - Realised Diff,123,0.00,18.15,2019-3,108,,-18.15,AC04,SP18,31/03/2019 10:58
00-80-8039,Forex Holding Account,447,0.00,140.66,2019-3,108,,-140.66,AC04,SP18,31/03/2019 10:58
00-70-7022,Forex - Realised Diff,447,140.66,0.00,2019-3,108,,140.66,AC04,SP18,31/03/2019 10:58
00-80-8037,Forex Holding Account,849,0.00,1372.78,2019-3,108,,-1372.78,AC04,SP18,31/03/2019 10:58
00-70-7022,Forex - Realised Diff,849,1372.78,0.00,2019-3,108,,1372.78,AC04,SP18,31/03/2019 10:58
00-80-8038,Forex Holding Account,301,0.00,1611.71,2019-3,108,,-1611.71,AC04,SP18,31/03/2019 10:58
00-70-7022,Forex - Realised Diff,301,1611.71,0.00,2019-3,108,,1611.71,AC04,SP18,31/03/2019 10:58
00-80-8036,Forex Holding Account,1208,0.00,4151.35,2019-3,108,,-4151.35,AC04,SP18,31/03/2019 10:58
00-70-7023,Forex - Realised Diff,1208,4151.35,0.00,2019-3,108,,4151.35,AC04,SP18,31/03/2019 10:58
00-80-8035,Forex Holding Account,1204,0.00,4164.29,2019-3,108,,-4164.29,AC04,SP18,31/03/2019 10:58
00-70-7022,Forex - Realised Diff,1204,4164.29,0.00,2019-3,108,,4164.29,AC04,SP18,31/03/2019 10:58
00-70-7026,Bank Fees,684,25.42,0.00,2019-3,109,,25.42,HV09,CH20,31/03/2019 16:14
00-80-8048,Expenses Control Account,684,0.00,25.42,2019-3,109,,-25.42,HV09,CH20,31/03/2019 16:14
00-20-2003,CoS-Inventory,890,2929.10,0.00,2019-1,11,,2929.10,ID03,CH20,30/01/2019 13:42
00-20-2009,Inventory-Misc. Costs,890,0.00,2929.10,2019-1,11,,-2929.10,ID03,CH20,30/01/2019 13:42
